Page,Trend,Seasonality,Serial Correlation (RAW),Serial Correlation (TSA),Skewness (RAW),Skewness (TSA),Kurtosis (RAW),Kurtosis (TSA),Self-Similarity,Chaos,Non-Linearity (TSA),Non-Linearity (RAW)
RPM0Q,0.052685569327373234,0.4595697652366521,203.50498738348202,126.44150161861212,0.5615829882378477,-0.9651566828552413,0.03719112353236387,7.024248879603195,0.8827751582274839,0.001210728781036357,30.276866480769147,35.78051184066415
4CBVD,0.0627686709864742,0.24810874008908024,118.39284086489857,82.5874443366897,1.3616157534817186,1.0839683364528303,8.772214297988107,12.80873127683805,0.8018389811607567,-0.009651105361663512,13.049935797859126,19.219344236157678
Y3I1M,0.008135470656065347,-0.2232633918187952,242.36344915807004,188.75853559288362,3.6569575320356487,-1.6497638880637846,14.612350593470467,1.786563141895079,0.8933176867597709,-0.034624059755999345,19.941705019927415,17.944596498920408
E85RQ,0.1156632541239906,0.17004135383343355,163.5420393442714,135.17372033680732,4.089743115890416,-2.469626586124026,20.330418364470166,8.481567026699967,0.5895041934920512,-0.011585329247893171,13.946105526279574,15.23326352639785
YCP21,0.11246489675969497,0.5346932337657067,100.36635068325087,10.314955746468184,0.1326633598489057,-0.9467051364886736,-0.2751230487204581,6.7573780180299625,0.774878459014442,0.0016322370137941279,2.149739157576041,17.38667706105336
F36GO,0.048189232445613565,0.08036849441667304,95.39019845308346,80.71332680871981,2.102780240211166,0.9669334721994374,7.3982478743999245,5.000175983189206,0.8320345004956002,0.0021273815280919333,14.368595671150436,13.760495292613525
CU6EW,0.08985511024962234,0.503000501383949,219.3556441089917,42.40935157415017,2.4112036103427976,-0.5855272498848215,5.203638116821913,0.4544744231136426,0.6008726134328245,0.0378986730910183,8.653929144252205,17.910344325440615
U52D1,0.13592613478841795,0.15099564371849486,9.01061821350144,0.3963656291716167,0.21189747276270293,-0.3576477252409969,0.7581592853081727,1.92380544589172,0.4481566400991427,-0.0011418301254601587,2.2681936231056765,3.6233577018498497
SRMJB,0.021402468521611432,0.16511995041033978,230.71849441374576,132.34535835463598,4.226117060671991,0.6933350606742655,19.12165367719336,1.0161060507211914,0.7373751617912432,-0.022293334975278398,18.218562937194893,15.264596850774527
3OMGF,0.1075162409658894,0.25465505048099835,76.6751046650822,97.37163100932614,-2.445436440604105,0.008128008680322443,26.972166504516025,4.6527289840035895,0.9069995868628706,-0.002899522264602699,15.570602814790867,19.97140013244055
IO0H4,0.14055998093180366,0.15042124680692082,13.972787205097392,4.715852791585557,-0.4210910578228823,-0.14712119088759024,1.5979426617196495,1.4963511545097683,0.6390071070825618,0.003017707833953925,0.2896474974797645,3.1652398737762444
27R4U,0.057481841573605814,-0.06756167631244625,157.150175948499,201.684438862504,1.8941644002493097,-2.1375259858940585,4.595877070242786,5.872821321061504,0.7686166365425962,-0.0061352270976721785,15.673947507925227,20.08241041439797
37M26,0.11951357419645656,0.6825972156365676,240.4362320203919,31.030027505310642,1.9443035501025077,-0.3094548098237121,2.7852071419654707,-0.4121699935311152,0.7367836601153277,0.017476424501070342,10.651633677941273,22.534378635234354
